,block,cond,dom_resp,duration,end,endloc,event,loc1,obj1end,obj1start,obj2end,obj2start,obj3end,obj3start,phase,recog_accuracy,recog_loc_accuracy,start,startloc,studytrial,sub,trialnum,x1,x2,x3,xend,xstart,y1,y2,y3,yend,ystart
79,1,2.0,8.0,12,1754,obj1end,ESACC,8.0,144.6820652327026,146.39870218003986,203.6686033732249,174.25435432149183,162.71723940627803,187.19129253253203,study,True,False,1744,obj1start,5.0,409,5,820.0,820.0,540.0,689.9,704.3,430.0,210.0,430.0,366.7,340.3
80,1,2.0,8.0,260,2014,,EFIX,8.0,,129.58090137053375,,208.98614786631197,,167.30573809645622,study,True,False,1756,obj1start,5.0,409,5,820.0,820.0,540.0,,700.0,430.0,210.0,430.0,,381.1
81,1,2.0,8.0,36,2050,obj3end,ESACC,8.0,430.11725145592567,121.46312197535518,449.5740762099167,214.9727657169624,160.77577553848093,169.23737766817348,study,True,False,2016,obj1start,5.0,409,5,820.0,820.0,540.0,395.8,704.8,430.0,210.0,430.0,358.9,391.5
82,1,2.0,8.0,972,3022,,EFIX,8.0,,481.7809668303637,,489.4373300025244,,214.01144829190795,study,True,False,2052,screen,5.0,409,5,820.0,820.0,540.0,,347.3,430.0,210.0,430.0,,336.9
83,1,2.0,8.0,30,3052,obj3end,ESACC,8.0,181.56687473214927,481.3302920033187,230.37910061461736,485.6077120474921,127.5873426324101,215.60809354010811,study,True,False,3024,screen,5.0,409,5,820.0,820.0,540.0,650.2,349.3,430.0,210.0,430.0,365.7,329.4
84,1,2.0,8.0,748,3800,,EFIX,8.0,,166.92465366146487,,205.65952445729326,,152.91775567277986,study,True,False,3054,obj3start,5.0,409,5,820.0,820.0,540.0,,672.0,430.0,210.0,430.0,,352.8
85,1,2.0,8.0,26,3826,obj2end,ESACC,8.0,306.2720685926158,171.81458028933395,143.01950915871578,200.31038415419204,314.125102467154,156.8191633697872,study,True,False,3802,obj3start,5.0,409,5,820.0,820.0,540.0,688.7,671.2,430.0,210.0,430.0,153.3,344.1
86,1,2.0,8.0,190,4016,,EFIX,8.0,,346.8498378261117,,175.39900227766404,,340.00119117438396,study,True,False,3828,obj2start,5.0,409,5,820.0,820.0,540.0,,671.6,430.0,210.0,430.0,,116.5
87,1,2.0,7.0,348,350,,EFIX,7.0,,321.9513006651783,,343.9137101076373,,859.4723032186669,study,True,False,4,screen,6.0,409,6,820.0,540.0,1660.0,,862.0,210.0,650.0,210.0,,529.2
88,1,2.0,7.0,42,392,obj2end,ESACC,7.0,561.2179344960387,334.11113420537185,97.14715641746805,335.3658450110864,1284.4818293771227,868.4643055416843,study,True,False,352,screen,6.0,409,6,820.0,540.0,1660.0,445.4,857.5,210.0,650.0,210.0,627.9,542.0
89,1,2.0,7.0,836,1228,,EFIX,7.0,,596.5861044308692,,150.34287478959556,,1334.5632169365376,study,True,False,394,obj2start,6.0,409,6,820.0,540.0,1660.0,,391.7,210.0,650.0,210.0,,625.3
90,1,2.0,7.0,46,1274,obj1end,ESACC,7.0,157.1366602674246,610.6876943250126,477.65670726998064,156.59968071487248,995.9256648967332,1345.8036483826309,study,True,False,1230,obj2start,6.0,409,6,820.0,540.0,1660.0,664.3,383.9,210.0,650.0,210.0,188.8,637.5
91,1,2.0,7.0,208,1482,,EFIX,7.0,,165.8969861088501,,487.7640925693485,,1003.0562347146844,study,True,False,1276,obj1start,6.0,409,6,820.0,540.0,1660.0,,657.5,210.0,650.0,210.0,,176.6
92,1,2.0,7.0,14,1496,obj1end,ESACC,7.0,160.9993788807895,165.4007557419252,530.6305682864491,492.493055788607,986.2904237596551,1001.7172305596026,study,True,False,1484,obj1start,6.0,409,6,820.0,540.0,1660.0,676.4,659.0,210.0,650.0,210.0,137.2,172.1
93,1,2.0,7.0,684,2180,,EFIX,7.0,,155.3826245112368,,541.4496837195493,,975.9670896090707,study,True,False,1498,obj1start,6.0,409,6,820.0,540.0,1660.0,,687.4,210.0,650.0,210.0,,129.0
94,1,2.0,7.0,64,2244,obj3end,ESACC,7.0,738.3263912389966,156.74032665526767,1129.2643003300866,539.1099424050718,115.78367760612892,978.4188929083493,study,True,False,2182,obj1start,6.0,409,6,820.0,540.0,1660.0,1556.5,684.8,210.0,650.0,210.0,158.1,130.7
95,1,2.0,7.0,994,3238,,EFIX,7.0,,753.4895155209526,,1144.9831658151136,,105.65249642105012,study,True,False,2246,obj3start,6.0,409,6,820.0,540.0,1660.0,,1571.3,210.0,650.0,210.0,,152.6
96,1,2.0,7.0,152,3390,obj1end,ESACC,7.0,132.13477967590512,774.6989221626683,556.5784760480772,1179.4432669696325,943.7815425192421,123.89681190410032,study,True,False,3240,obj3start,6.0,409,6,820.0,540.0,1660.0,720.2,1588.1,210.0,650.0,210.0,123.4,109.1
